"mz","Intensity"
667.3622,19.61
668.3073,25.67
704.35,43.11
705.4307,81
722.3541,18.11
743.3421,25
745.8432,11.33
819.4135,19.61
834.4611,43.67
891.4924,87
893.444,26.41
902.4374,12
909.4156,13.61
923.3666,12
960.5066,31
978.5312,270
979.5351,36
998.5385,13.61
1002.502,12
1019.4761,12
1121.4762,19.61
1130.582,57.21
1133.5179,14.32
1148.5992,62.11
1166.598,434.2
1384.6285,19.72
1489.7551,32.21
1501.5956,18.11
120.0808,21
129.0997,30
145.0973,82
147.1145,21
173.0895,95.16
199.1017,17.08
215.0998,23.15
226.1119,16.07
230.0921,26.08
252.1019,25.08
260.1971,18
287.1393,16
296.162,21
314.1669,16
316.1338,16.07
330.1612,22.08
355.1671,20
361.2473,56
373.1619,28
377.1389,17
398.2031,17.08
430.156,18.08
431.208,21.15
432.1826,16.07
443.2043,25.15
458.1832,21.16
459.1812,24
460.2779,46.15
461.2485,11.76
470.2214,21
476.2297,16
480.2158,16
488.194,24
512.2357,25.15
517.256,16.07
519.2443,16.37
532.2296,27.27
559.2557,25
598.6226,16
602.2527,33
604.3364,17.15
605.0367,26.18
607.3765,18.22
613.2689,20
653.2289,17.08
696.2905,25.15
715.9114,16
722.4072,34
723.3312,16.07
729.3877,13.08
734.3315,13.08
749.3114,13.08
768.2869,17.47
819.4115,24
821.3906,30
836.4491,124.3
847.3958,13.08
850.4233,16
883.4169,16.14
889.414,13.08
894.4191,13.08
895.3904,30.18
915.4253,13
925.4323,16.07
965.4913,131
1008.4659,47
1013.5095,13
1018.5135,13
1019.494,25
1024.5432,20
1036.5258,298.6
1036.5588,30.55
1053.6227,18.08
1062.5326,13.08
1097.5762,17.08
1107.5566,42.11
1120.5477,8
1151.4834,8
1190.5665,60.5
1208.6118,449
1317.6073,18.55
157.1076,15.16
158.1018,12
161.0898,18.11
171.0704,21.81
175.1182,28
187.1338,21.05
189.0884,29
234.1345,15
252.0483,15.81
255.1713,13.67
256.1477,17.42
260.1627,12.81
269.1674,12.05
284.1588,78.05
286.1522,39
288.1314,12.86
300.1535,56
302.1721,29
303.1768,21
328.1803,21.81
338.1739,22.91
341.1648,12.81
343.2016,13.61
355.2028,18
367.1961,15.86
370.2025,16.63
371.1776,18
373.2102,41.81
374.2164,53
384.2265,13.61
385.2272,13.1
393.1807,12.81
396.218,16.61
399.1966,21
422.2085,12.81
425.2143,15
429.2205,19.16
440.2027,18
442.2313,18.11
445.2568,62.11
460.2417,22
466.2602,24
470.215,31.14
474.212,12.81
488.2338,59
521.7738,31
533.2332,18.05
538.2718,18
539.2584,19.05
542.2721,27.05
554.2841,39.92
556.2769,22.05
559.2961,159
563.2936,58.18
565.2919,15
573.3156,41.61
580.319,22.17
583.3096,15
601.3177,42
604.2933,15.81
607.3176,35.12
609.3156,18.93
613.2929,19.1
615.3507,21.05
615.606,18
618.3003,15.81
630.3303,269
631.3384,18
661.2866,16.96
666.3524,18.86
669.3335,21.05
672.3524,30.16
679.3315,15.81
716.3533,19.81
718.3777,12
720.3782,12
724.3856,13.61
726.3607,21.81
731.4103,29.75
743.4093,140
744.4288,18.11
746.3832,12.81
757.4285,12.81
762.4221,12
765.3792,12.81
785.3699,32.38
787.953,12.11
794.3391,12.05
801.4603,15.05
802.3903,15
839.4181,25.16
841.4158,18.81
857.4399,28
858.4443,230.8
861.4142,10.6
900.4439,18.11
911.4507,24
914.4193,12.86
928.4637,12
929.4819,253
930.4923,31
962.5094,12.05
989.4557,12
1003.537,18.81
1025.5282,16.1
1025.5585,12
1039.4821,16.97
1042.561,79
1043.5408,19.91
1046.5477,30.81
1100.512,6
1117.5905,9.807
1120.5115,6
1131.5989,6
1139.4636,9.807
1203.5925,6
1212.6683,80.17
1230.6398,339
1426.8518,17.07
1465.7402,11.38
1545.8132,12.06
1567.7678,12
1570.6536,15.16
1577.7988,18.95
115.0565,8.018
117.0639,7
127.051,9
144.0801,6
145.0607,16.02
157.0638,8.036
172.0708,7.269
175.1189,17.37
184.077,7
196.0797,6
201.11,6
202.0819,10
213.1208,8
214.0816,14
228.1369,7.386
229.093,16
231.111,8.018
240.1165,7.018
241.0938,19
251.1,6
252.0876,6.018
253.0965,12
257.1392,6.018
258.1328,14
259.104,25.3
