"mz","Intensity"
317.1859,24
345.1724,50
362.2029,76.61
427.2576,31
452.2449,62
454.1859,25.61
493.2406,111
498.3088,55.23
499.7888,24.22
502.5903,26.24
502.9218,57.67
508.7953,283.6
516.29,24
599.2949,24
606.3213,153.6
618.3152,31.61
633.3335,85.11
634.3372,22.69
641.3155,18.28
648.33,25.61
661.3626,62.11
675.2757,51.61
678.3958,51
697.3331,30
706.3677,10.6
712.3644,25.61
735.371,177
760.4182,28.5
773.3992,21.23
788.3827,139.9
789.4132,42.96
789.4299,30
801.4354,25.67
805.3768,30
806.4506,37
813.3713,36.11
851.6603,31.67
890.4866,30
901.4347,43.11
903.4959,24
918.4663,130
918.4804,52.2
1004.4822,19
1026.5135,12
1049.4944,24
1204.5511,12
1262.5808,36.11
1279.6399,37
1410.7289,31
1522.8097,682
120.0809,167
121.086,25
136.0762,50
145.0965,25
165.1037,31
171.1033,36
173.0945,57
260.1169,53.12
270.1487,30
272.1339,25.61
276.1372,134
277.1394,83
284.1568,51.67
294.174,25.61
309.1363,25
319.1619,25.61
345.2288,61.11
356.1817,26
359.1776,26.61
360.1494,31
376.207,30
430.8822,31
444.2928,95.96
445.2941,87
494.2752,50.61
500.3421,24.22
505.922,49
510.7871,25
511.2737,2125
511.7795,300
559.2863,28.95
560.3189,44.61
588.3094,21.42
613.3375,25.61
632.3549,30
644.3484,31
646.3497,321.1
657.324,44.61
660.2769,31.11
680.8362,52.21
728.3818,19.23
745.4205,174
746.4293,555
767.3958,86.11
778.4423,24.11
787.4382,24
802.488,22.5
805.5092,24.11
809.3893,25
822.4211,37
830.3676,19.61
853.4802,24.11
855.4922,32
857.4498,75
868.5422,29.89
874.4782,36
881.4663,25
909.4601,24
930.4658,38
978.5204,12
979.4377,25.61
999.5639,12
1004.5349,57.21
1059.5917,13.61
1077.5319,12
1087.4655,12.11
1097.5562,12
1174.5894,74.1
1174.6112,18
299.0993,31.23
301.0086,24
388.2231,19.72
399.2186,18
458.2379,18.11
472.207,19.61
494.264,42.11
509.2256,19.72
511.9213,40.29
512.6086,25
514.2686,18.11
645.3442,19.61
667.3492,19.61
710.8596,19.72
745.4113,12
753.5104,12
796.4808,12
807.4637,18
811.4123,25
867.4201,12
873.4304,12
879.4615,12
883.5161,12
892.3822,12
903.4625,12
904.4041,9.311
1015.5223,25.11
1030.5546,12
1057.9742,31
1058.4171,43
1063.4811,37
1063.9342,25
1067.5051,25.61
1067.9116,18
1123.5928,12
1141.5586,12
1145.5756,12
1306.6564,30
1435.697,20.21
1445.6816,14.21
2602.1953,18.11
129.0976,18.18
175.121,21
178.052,128
210.026,34
213.1113,24.5
217.0886,16.07
237.1013,16.07
244.1373,21.08
273.1737,22
275.1124,17.08
293.1479,16.07
295.1238,27.15
302.1576,17.08
309.1309,33
312.0738,31.08
339.1661,16.07
340.1472,16.07
344.0415,60
359.2206,13.08
423.6576,13.15
437.2104,16.07
444.178,16
459.5666,25.32
460.2271,13.16
461.2159,13.08
475.105,13
498.285,16
506.0909,17.07
511.2879,16.07
517.2611,16
522.7921,20
523.2759,183.1
598.3113,20.15
607.2685,17.08
622.3207,29.24
657.3353,17.08
659.3179,17.08
661.3206,34.07
665.3566,16
678.3331,29.15
712.3328,16
714.3688,12.07
717.3865,13
726.313,13.08
727.3629,20
741.4368,16.07
742.2878,13.47
745.3734,12.07
758.3787,12
769.4604,12
802.474,16.07
813.4134,12
816.4326,12
828.3503,13.08
832.3907,12.07
847.4548,13.11
868.4718,12
887.4553,18.55
918.5193,8
925.459,9
932.511,8
938.5144,9.076
957.4467,16
979.4741,14.55
989.5266,8
1001.55,18.15
1045.2076,186
1049.4521,26.86
1053.545,29.19
1108.5764,16
1138.5538,9.076
130.0772,19.64
136.0804,15
147.1162,14
157.1319,28.81
171.1347,20.9
173.114,17
175.1183,14.81
199.1771,54.06
200.1038,19.06
227.1782,25
244.1273,14
246.1746,12.86
251.1172,27
260.1667,12.84
270.1288,15.05
271.1164,14
288.1681,14
291.6908,15
295.0851,12.81
303.2017,31.81
311.1031,12.91
322.1406,12.11
329.153,18
370.1931,17
374.2351,46
383.1354,32.84
385.2178,15.05
400.2192,20
400.5421,34
400.8767,137
401.167,50.95
430.261,12.05
442.276,15
452.2015,13.61
458.3209,15.05
467.2215,12.05
487.2654,15.81
488.2728,12.81
498.3115,14.05
501.2591,33
503.282,24
545.3015,19
557.356,17
574.322,259
582.3369,18
586.3618,12
588.3293,22
599.2651,12.11
600.295,31.05
602.3547,22.81
613.3246,23.2
616.3364,25
625.3251,12.81
630.3521,19
658.4039,15
669.3525,21.81
687.3978,74
701.3705,12.11
705.2371,16.61
713.4012,15.86
714.3754,29.19
726.3378,9
729.3447,6
758.4187,6.807
